18   ,028.1732,-14.0068,20.359, 0.700, 3.146, 0.023, 0.8248
26  ,028.2013,-14.0062,nan,nan,nan,nan, 0.8372
35   ,028.1818,-14.0057,21.707, 0.104, 2.980, 0.265, 0.8323
47   ,028.1899,-14.0038,20.471, 0.067, 3.230, 0.066, 0.8436
67   ,028.1546,-14.0020,nan,nan,nan,nan, 0.8390
81   ,028.1846,-14.0017,20.738, 0.068, 3.432, 0.063, 0.8433
85   ,028.1747,-13.9980,19.515, 0.039, 3.404, 0.050, 0.8258
97   ,028.1796,-14.0001,21.213, 0.086, 3.103, 0.088, 0.8288
113  ,028.1717,-13.9988,21.477, 0.096, 3.152, 0.088, 0.8237
125  ,028.2207,-13.9976,nan,nan,nan,nan, 0.8376
129  ,028.1746,-13.9973,21.580, 0.105, 3.098, 0.106, 0.8256
131  ,028.2167,-13.9712,19.197, 0.035, 3.698, 0.044, 0.8436
144  ,028.1468,-13.9963,nan,nan,nan,nan, 0.8442
145  ,028.1880,-13.9978,23.333, 0.233, 1.573, 0.287, 0.8510
161  ,028.1453,-13.9960,nan,nan,nan,nan, 0.8447
177  ,028.1817,-13.9938,21.441, 0.100, 2.766, 0.107, 0.8427
182  ,028.1784,-13.9940,21.524, 0.099, 3.337, 0.118, 0.8285
184  ,028.1462,-13.9947,nan,nan,nan,nan, 0.8397
204  ,028.1974,-13.9904,19.022, 0.032, 3.833, 0.045, 0.8386
234  ,028.1664,-13.9880,21.143, 0.087, 2.458, 0.097, 0.8474
241  ,028.1612,-13.9889,20.970, 0.078, 3.340, 0.079, 0.8354
248  ,028.2016,-13.9891,20.630, 0.066, 3.267, 0.069, 0.8472
258  ,028.2062,-13.9752,19.658, 0.042, 3.772, 0.045, 0.8430
267  ,028.1665,-13.9884,20.824, 0.074, 3.345, 0.091, 0.8443
270  ,028.1657,-13.9872,20.027, 0.053, 4.007, 0.071, 0.8450
291  ,028.1491,-13.9862,21.081, 0.081, 3.347, 0.080, 0.8357
295  ,028.1642,-13.9844,20.576, 0.066, 2.282, 0.079, 0.8370
300  ,028.1825,-13.9836,19.962, 0.048, 0.598, 0.053, 0.8201
306  ,028.2072,-13.9744,20.004, 0.050, 3.497, 0.058, 0.8539
327  ,028.1677,-13.9828,22.499, 0.151, 0.484, 0.153, 0.8247
328  ,028.1958,-13.9837,22.100, 0.132, 2.822, 0.142, 0.8403
332  ,028.1654,-13.9822,20.405, 0.059, 3.155, 0.063, 0.8322
344  ,028.1585,-13.9818,20.829, 0.071, 3.189, 0.071, 0.8249
347  ,028.1611,-13.9818,21.801, 0.113, 2.365, 0.098, 0.8463
377  ,028.1719,-13.9786,20.569, 0.064, 3.045, 0.073, 0.8379
387  ,028.1653,-13.9739,19.636, 0.044, 3.716, 0.048, 0.8293
394  ,028.1558,-13.9758,21.253, 0.089, 2.818, 0.098, 0.8329
396  ,028.1467,-13.9778,22.436, 0.154, 2.952, 0.137, 0.8280
397  ,028.1687,-13.9771,20.599, 0.064, 3.347, 0.062, 0.8314
418  ,028.1622,-13.9754,20.396, 0.059, 3.587, 0.060, 0.8299
432  ,028.2202,-13.9732,20.453, 0.061, 3.327, 0.070, 0.8526
436  ,028.1534,-13.9742,21.092, 0.082, 3.106, 0.080, 0.8370
439  ,028.1659,-13.9733,19.556, 0.049, 3.604, 0.070, 0.8294
445  ,028.1798,-13.9728,20.225, 0.054, 3.221, 0.057, 0.8270
455  ,028.1681,-13.9730,21.413, 0.094, 3.360, 0.082, 0.8295
468  ,028.1693,-13.9707,19.757, 0.044, 3.492, 0.053, 0.8272
474  ,028.1660,-13.9715,21.676, 0.105, 3.019, 0.104, 0.8235
477  ,028.1686,-13.9700,21.069, 0.081, 3.370, 0.077, 0.8306
491  ,028.1742,-13.9703,20.974, 0.076, 2.989, 0.068, 0.8278
498  ,028.1647,-13.9689,20.774, 0.071, 3.041, 0.086, 0.8258
509  ,028.1644,-13.9684,20.713, 0.070, 3.470, 0.075, 0.8670
511  ,028.1492,-13.9689,21.782, 0.111, 2.835, 0.092, 0.8362
513  ,028.1679,-13.9680,20.504, 0.062, 3.284, 0.062, 0.8275
522  ,028.2046,-13.9674,21.545, 0.105, 1.536, 0.117, 0.8489
543  ,028.2125,-13.9647,19.267, 0.035, 3.389, 0.044, 0.8397
547  ,028.1743,-13.9660,20.377, 0.058, 3.626, 0.060, 0.8460
548  ,028.1787,-13.9652,20.292, 0.056, 3.354, 0.058, 0.8371
551  ,028.1509,-13.9634,19.711, 0.043, 3.525, 0.050, 0.8362
557  ,028.1660,-13.9613,18.555, 0.025, 3.246, 0.026, 0.8672
571  ,028.1766,-13.9639,20.051, 0.051, 3.494, 0.060, 0.8444
595  ,028.1839,-13.9629,20.880, 0.073, 3.122, 0.074, 0.8377
598  ,028.1666,-13.9616,19.004, 0.032, 3.594, 0.044, 0.8315
626  ,028.1807,-13.9288,20.897, 0.073, 2.889, 0.071, 0.8206
648  ,028.1874,-13.9432,21.435, 0.095, 3.022, 0.098, 0.8461
650  ,028.1558,-13.9431,20.524, 0.063, 2.197, 0.077, 0.8671
654  ,028.1902,-13.9442,19.738, 0.043, 3.634, 0.050, 0.8457
663  ,028.1869,-13.9439,21.583, 0.101, 3.117, 0.087, 0.8302
679  ,028.1911,-13.9496,18.613, 0.026, 3.595, 0.035, 0.8342
682  ,028.1514,-13.9477,22.848, 0.172, 2.907, 0.150, 0.8297
688  ,028.1817,-13.9488,19.812, 0.045, 3.419, 0.056, 0.8339
701  ,028.1876,-13.9509,18.817, 0.029, 3.506, 0.036, 0.8352
735  ,028.1454,-13.9527,22.811, 0.177, 2.574, 0.164, 0.8311
805  ,028.1467,-13.9604,21.783, 0.115, 2.423, 0.116, 0.8348
811  ,028.2092,-13.9610,21.306, 0.089, 2.820, 0.089, 0.8476
851  ,028.1589,-13.9270,19.861, 0.046, 2.923, 0.055, 0.8360
859  ,028.1566,-13.9084,nan,nan,nan,nan, 0.8402
868  ,028.1953,-13.9088,nan,nan,nan,nan, 0.8297
889  ,028.1738,-13.9090,nan,nan,nan,nan, 0.8322
895  ,028.1706,-13.9097,nan,nan,nan,nan, 0.8668
898  ,028.1735,-13.9094,14.416, 0.001, 8.727, 0.016, 0.8300
928  ,028.1812,-13.9117,20.836, 0.072, 3.264, 0.070, 0.8319
931  ,028.2105,-13.9533,21.139, 0.082, 3.086, 0.088, 0.8349
1006 ,028.1742,-13.9184,24.826, 0.625, 1.222, 0.316, 0.8485
1067 ,028.1658,-13.9223,22.360, 0.145, 2.956, 0.136, 0.8312
1099 ,028.1999,-13.9253,21.175, 0.084, 2.605, 0.098, 0.8230
1102 ,028.1850,-13.9243,22.094, 0.128, 2.743, 0.121, 0.8342
1112 ,028.1486,-13.9293,24.114, 0.492, 0.648, 0.446, 0.8666
1131 ,028.1567,-13.9279,24.444, 0.423, 0.945, 0.290, 0.8237
1132 ,028.1714,-13.9278,20.973, 0.076, 3.232, 0.074, 0.8259
1146 ,028.1654,-13.9300,22.606, 0.169, 1.583, 0.165, 0.8641
1151 ,028.1817,-13.9313,20.912, 0.074, 3.223, 0.075, 0.8330
1172 ,028.1562,-13.9304,19.571, 0.040, 3.143, 0.046, 0.8373
1184 ,028.1855,-13.9316,19.987, 0.048, 3.380, 0.055, 0.8288
1204 ,028.1763,-13.9335,20.739, 0.068, 3.234, 0.074, 0.8416
1225 ,028.1820,-13.9342,21.347, 0.090, 3.008, 0.078, 0.8399
1226 ,028.1503,-13.9348,20.323, 0.058, 3.109, 0.062, 0.8310
1238b,028.1576,-13.9356,25.223, 0.535, 1.873, 0.439, 0.8456
1239 ,028.1507,-13.9355,19.184, 0.034, 3.179, 0.041, 0.8650
1246 ,028.1688,-13.9360,21.620, 0.103, 2.903, 0.094, 0.8306
1258 ,028.1587,-13.9410,19.162, 0.034, 3.381, 0.044, 0.8394
1278 ,028.1768,-13.9383,19.340, 0.036, 3.435, 0.042, 0.8215
1290 ,028.2201,-13.9398,20.390, 0.060, 2.217, 0.070, 0.8416
1316 ,028.1654,-13.9416,21.579, 0.102, 2.472, 0.104, 0.8456
1338 ,028.1605,-13.9425,20.074, 0.053, 3.307, 0.063, 0.8331
1356 ,028.1888,-13.9435,21.157, 0.083, 2.977, 0.089, 0.8290
1367 ,028.1501,-13.9422,20.288, 0.056, 3.265, 0.064, 0.8352
1383 ,028.1951,-13.9471,22.274, 0.139, 2.969, 0.119, 0.8334
1386 ,028.1909,-13.9459,20.179, 0.053, 3.399, 0.060, 0.8388
1442 ,028.1791,-13.9595,19.358, 0.036, 3.552, 0.044, 0.8318
1454 ,028.1791,-13.9572,21.707, 0.111, 2.720, 0.118, 0.8452
1465 ,028.1807,-13.9572,19.901, 0.048, 3.595, 0.053, 0.8365
1466 ,028.1824,-13.9552,19.119, 0.035, 3.448, 0.045, 0.8395
1467 ,028.1829,-13.9554,19.147, 0.034, 3.413, 0.041, 0.8412
1483 ,028.1974,-13.9550,21.174, 0.084, 3.254, 0.084, 0.8415
1496 ,028.1439,-13.9782,20.280, 0.056, 3.633, 0.061, 0.8300
1499 ,028.2124,-13.9583,21.229, 0.086, 3.123, 0.075, 0.8462
1500 ,028.2131,-13.9576,19.353, 0.036, 3.142, 0.045, 0.8477
1501 ,028.2167,-13.9707,19.244, 0.034, 3.408, 0.044, 0.8473
1514 ,028.1352,-14.0084,nan,nan,nan,nan, 0.8264
1530 ,028.2126,-14.0052,nan,nan,nan,nan, 0.8367
1532 ,028.1837,-14.0110,21.313, 0.001, 1.884, 0.016, 0.8413
3013 ,028.1286,-13.9623,12.764, 0.001,12.314, 0.051, 0.8224
3014 ,028.1263,-13.9535,11.339, 0.001,10.233, 0.008, 0.8474
3015 ,028.2320,-13.9473,nan,nan,nan,nan, 0.8457
5004 ,028.1303,-13.9461,23.131, 0.084, 1.743, 0.093, 0.8292
5010 ,028.1423,-13.9383,22.933, 0.209, 2.011, 0.221, 0.8691
5011 ,028.1434,-13.9383,23.142, 0.231, 1.453, 0.234, 0.8691
5015 ,028.2067,-13.9774,21.081, 0.080, 3.189, 0.083, 0.8460
5020 ,028.2252,-13.9800,19.967, 0.052, 2.849, 0.063, 0.8387
5027 ,028.1986,-14.0130,nan,nan,nan,nan, 0.8381
5034 ,028.1817,-13.9774,22.434, 0.149, 2.974, 0.149, 0.8304
5042 ,028.1825,-14.0094,nan,nan,nan,nan, 0.8287
5049 ,028.1794,-13.9080,nan,nan,nan,nan, 0.8447
5063 ,028.1954,-13.9024,nan,nan,nan,nan, 0.8402

